iter	Passed	Remaining
0	1	187
1	3	175
2	5	168
3	6	158
4	10	191
5	12	193
6	14	191
7	16	186
8	18	182
9	19	177
10	21	172
11	23	172
12	25	168
13	26	164
14	28	161
15	30	157
16	32	156
17	33	154
18	35	151
19	38	153
20	40	153
21	42	150
22	44	147
23	45	145
24	47	143
25	49	140
26	50	137
27	53	136
28	55	134
29	56	132
30	58	130
31	60	128
32	62	126
33	63	123
34	65	121
35	68	121
36	70	120
37	72	118
38	74	116
39	76	114
40	77	111
41	78	108
42	80	106
43	82	105
44	84	103
45	86	101
46	88	99
47	89	97
48	91	95
49	93	93
50	94	91
51	97	90
52	100	89
53	102	87
54	103	84
55	105	82
56	106	80
57	108	78
58	110	76
59	112	74
60	114	73
61	116	71
62	118	69
63	119	67
64	121	65
65	123	63
66	125	61
67	129	61
68	131	59
69	133	57
70	135	55
71	137	53
72	139	51
73	141	49
74	143	47
75	145	45
76	147	43
77	148	41
78	150	40
79	152	38
80	155	36
81	159	34
82	161	33
83	163	31
84	164	29
85	166	27
86	169	25
87	171	23
88	174	21
89	176	19
90	177	17
91	179	15
92	181	13
93	184	11
94	186	9
95	189	7
96	191	5
97	192	3
98	194	1
99	196	0
